player_name,team,season,runs,balls_faced,outs,fours,sixes,strike_rate,balls_bowled,runs_conceded,wickets,overs,economy,is_batsman,is_bowler,is_allrounder,is_pure_batsman,is_pure_bowler,fantasy_points
JA Morkel,Chennai Super Kings,2007/08,241.0,162.0,7.0,18.0,14.0,148.76543209876544,288.0,399.0,17.0,48.0,8.3125,True,True,True,False,False,722.0
SK Raina,Chennai Super Kings,2007/08,421.0,294.0,9.0,35.0,18.0,143.19727891156464,20.0,30.0,1.0,3.3333333333333335,9.0,True,False,False,True,False,527.0
MS Dhoni,Chennai Super Kings,2007/08,414.0,310.0,10.0,38.0,15.0,133.5483870967742,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,482.0
MS Gony,Chennai Super Kings,2007/08,35.0,22.0,1.0,2.0,3.0,159.0909090909091,360.0,443.0,17.0,60.0,7.383333333333334,False,True,False,False,True,478.0
PA Patel,Chennai Super Kings,2007/08,302.0,295.0,11.0,42.0,3.0,102.37288135593221,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,350.0
L Balaji,Chennai Super Kings,2007/08,0.0,4.0,1.0,0.0,0.0,0.0,198.0,286.0,11.0,33.0,8.666666666666666,False,True,False,False,True,275.0
M Muralitharan,Chennai Super Kings,2007/08,0.0,3.0,1.0,0.0,0.0,0.0,348.0,404.0,11.0,58.0,6.9655172413793105,False,True,False,False,True,275.0
S Badrinath,Chennai Super Kings,2007/08,192.0,130.0,6.0,21.0,8.0,147.69230769230768,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,239.0
ML Hayden,Chennai Super Kings,2007/08,189.0,127.0,2.0,24.0,6.0,148.8188976377953,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,235.0
Joginder Sharma,Chennai Super Kings,2007/08,16.0,11.0,2.0,1.0,1.0,145.45454545454547,148.0,239.0,8.0,24.666666666666668,9.68918918918919,False,True,False,False,True,229.0
SP Fleming,Chennai Super Kings,2007/08,196.0,162.0,9.0,27.0,3.0,120.98765432098766,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,229.0
MEK Hussey,Chennai Super Kings,2007/08,168.0,100.0,2.0,12.0,11.0,168.0,0.0,0.0,0.0,0.0,0.0,True,False,False,True,False,212.0
S Vidyut,Chennai Super Kings,2007/08,145.0,109.0,8.0,21.0,3.0,133.0275229357798,12.0,22.0,1.0,2.0,11.0,True,False,False,True,False,197.0
M Ntini,Chennai Super Kings,2007/08,11.0,18.0,1.0,2.0,0.0,61.111111111111114,210.0,242.0,7.0,35.0,6.914285714285715,False,True,False,False,True,188.0
P Amarnath,Chennai Super Kings,2007/08,0.0,0.0,0.0,0.0,0.0,0.0,132.0,236.0,7.0,22.0,10.727272727272727,False,True,False,False,True,175.0
JDP Oram,Chennai Super Kings,2007/08,18.0,12.0,1.0,1.0,1.0,150.0,96.0,149.0,3.0,16.0,9.3125,False,True,False,False,True,106.0
